platform,measurement,latency_ms
mac_cpu,model_forward,1.149292
mac_cpu,model_forward,1.081625
mac_cpu,model_forward,1.11375
mac_cpu,model_forward,1.104041
mac_cpu,model_forward,1.123417
mac_cpu,model_forward,1.070875
mac_cpu,model_forward,1.116042
mac_cpu,model_forward,1.088292
mac_cpu,model_forward,1.115458
mac_cpu,model_forward,1.107292
mac_cpu,model_forward,1.093875
mac_cpu,model_forward,1.087
mac_cpu,model_forward,1.139625
mac_cpu,model_forward,1.105292
mac_cpu,model_forward,1.089584
mac_cpu,model_forward,1.081792
mac_cpu,model_forward,1.113583
mac_cpu,model_forward,1.32775
mac_cpu,model_forward,1.365541
mac_cpu,model_forward,1.173917
mac_cpu,model_forward,1.116542
mac_cpu,model_forward,1.157875
mac_cpu,model_forward,1.126041
mac_cpu,model_forward,1.099708
mac_cpu,model_forward,1.107709
mac_cpu,model_forward,1.120208
mac_cpu,model_forward,1.105459
mac_cpu,model_forward,1.156708
mac_cpu,model_forward,1.113125
mac_cpu,model_forward,1.116208
mac_cpu,model_forward,1.095667
mac_cpu,model_forward,1.22225
mac_cpu,model_forward,1.154916
mac_cpu,model_forward,1.107875
mac_cpu,model_forward,1.139083
mac_cpu,model_forward,1.776916
mac_cpu,model_forward,1.985292
mac_cpu,model_forward,1.16825
mac_cpu,model_forward,1.127542
mac_cpu,model_forward,1.135958
mac_cpu,model_forward,1.115667
mac_cpu,model_forward,1.127041
mac_cpu,model_forward,1.101917
mac_cpu,model_forward,1.105292
mac_cpu,model_forward,1.089959
mac_cpu,model_forward,1.126958
mac_cpu,model_forward,1.124584
mac_cpu,model_forward,1.195041
mac_cpu,model_forward,1.227083
mac_cpu,model_forward,1.100708
mac_cpu,model_forward,1.123
mac_cpu,model_forward,1.109375
mac_cpu,model_forward,1.127083
mac_cpu,model_forward,1.123916
mac_cpu,model_forward,1.117917
mac_cpu,model_forward,1.131
mac_cpu,model_forward,1.142417
mac_cpu,model_forward,1.113041
mac_cpu,model_forward,1.074583
mac_cpu,model_forward,1.153167
mac_cpu,model_forward,1.129417
mac_cpu,model_forward,1.126667
mac_cpu,model_forward,1.08075
mac_cpu,model_forward,1.130334
mac_cpu,model_forward,1.12125
mac_cpu,model_forward,1.127417
mac_cpu,model_forward,1.106209
mac_cpu,model_forward,1.091958
mac_cpu,model_forward,1.11775
mac_cpu,model_forward,1.129125
mac_cpu,model_forward,1.111375
mac_cpu,model_forward,1.155334
mac_cpu,model_forward,1.103208
mac_cpu,model_forward,1.107708
mac_cpu,model_forward,1.067708
mac_cpu,model_forward,1.123
mac_cpu,model_forward,1.12675
mac_cpu,model_forward,1.13475
mac_cpu,model_forward,1.088583
mac_cpu,model_forward,1.143541
mac_cpu,model_forward,1.102333
mac_cpu,model_forward,1.118792
mac_cpu,model_forward,1.09875
mac_cpu,model_forward,1.103084
mac_cpu,model_forward,1.143375
mac_cpu,model_forward,1.120625
mac_cpu,model_forward,1.118333
mac_cpu,model_forward,1.104
mac_cpu,model_forward,1.065792
mac_cpu,model_forward,1.134667
mac_cpu,model_forward,1.125333
mac_cpu,model_forward,1.102375
mac_cpu,model_forward,1.106667
mac_cpu,model_forward,1.11025
mac_cpu,model_forward,1.100375
mac_cpu,model_forward,1.129583
mac_cpu,model_forward,1.158542
mac_cpu,model_forward,1.0985
mac_cpu,model_forward,1.091792
mac_cpu,model_forward,1.084167
mac_cpu,model_forward,1.099834
mac_cpu,model_forward,1.122916
mac_cpu,model_forward,1.1155
mac_cpu,model_forward,1.0875
mac_cpu,model_forward,1.135292
mac_cpu,model_forward,1.088
mac_cpu,model_forward,1.102375
mac_cpu,model_forward,1.223
mac_cpu,model_forward,1.229166
mac_cpu,model_forward,1.108792
mac_cpu,model_forward,1.105125
mac_cpu,model_forward,1.120083
mac_cpu,model_forward,1.111917
mac_cpu,model_forward,1.108292
mac_cpu,model_forward,1.113417
mac_cpu,model_forward,1.139625
mac_cpu,model_forward,1.3515
mac_cpu,model_forward,1.292125
mac_cpu,model_forward,1.148042
mac_cpu,model_forward,1.1105
mac_cpu,model_forward,1.137333
mac_cpu,model_forward,1.150792
mac_cpu,model_forward,1.122334
mac_cpu,model_forward,1.091833
mac_cpu,model_forward,1.104375
mac_cpu,model_forward,1.11575
mac_cpu,model_forward,1.086834
